,1 star,2 stars,3 stars,4 stars,5 stars,avg_rating,product_id,review_count
1635,6,3,6,6,14,3.5,2171700,35 reviews
1636,3,4,4,3,26,4.1,2228930,40 reviews
1637,0,0,0,4,30,4.9,2177210,34 reviews
1638,1,1,4,4,22,4.4,1978253,32 reviews
1639,0,3,3,2,14,4.2,2159135,22 reviews
1640,1,1,5,7,26,4.4,1964246,40 reviews
1641,2,2,0,3,17,4.3,1750066,24 reviews
1642,14,11,18,17,75,3.9,2063766,135 reviews
1643,7,6,4,11,40,4,2143873,68 reviews
1644,2,4,4,9,14,3.9,1813757,33 reviews
1645,0,1,1,6,14,4.5,2182558,22 reviews
1646,1,1,5,26,115,4.7,2136166,148 reviews
1647,1,0,0,5,20,4.7,2228773,26 reviews
1648,1,0,1,1,7,4.3,2197234,10 reviews
1649,0,1,8,6,16,4.2,2234235,31 reviews
1650,1,1,1,2,16,4.5,2069466,21 reviews
1651,2,3,2,3,8,3.7,2217271,18 reviews
1652,9,9,7,29,106,4.3,1968577,160 reviews
1653,6,9,8,10,14,3.4,1965128,47 reviews
1654,2,0,3,13,30,4.4,2178432,48 reviews
1655,1,0,2,4,17,4.5,1779875,24 reviews
1656,0,0,1,1,5,4.6,2233781,7 reviews
1657,1,0,0,4,14,4.6,2115384,19 reviews
1658,6,11,16,41,65,4.1,1648328,139 reviews
1659,1,4,5,15,32,4.3,2094290,57 reviews
1660,17,12,10,6,60,3.8,2065258,105 reviews
1661,23,38,45,98,287,4.2,1881432,491 reviews
1662,17,8,15,16,34,3.5,1993963,90 reviews
1663,0,1,0,1,1,3.7,2200053,3 reviews
1664,27,53,88,198,348,4.1,1899533,714 reviews
1665,1,2,4,8,15,4.1,2083418,30 reviews
1666,35,39,38,83,143,3.8,1897354,338 reviews
1667,5,3,2,7,48,4.4,2088060,65 reviews
1668,173,155,131,259,520,3.6,1439397,"1,238 reviews"
1669,19,43,168,628,"1,252",4.4,1972611,"2,110 reviews"
1670,28,22,33,63,107,3.8,1540590,253 reviews
1671,8,8,12,19,66,4.1,2064855,113 reviews
1672,6,3,9,9,21,3.8,2068203,48 reviews
1673,2,5,4,14,50,4.4,2156875,75 reviews
1674,6,8,5,28,60,4.2,1814037,107 reviews
1675,6,9,52,223,419,4.5,2136042,709 reviews
1676,4,3,8,15,7,3.5,1879733,37 reviews
1677,24,31,42,81,293,4.2,1740091,471 reviews
1678,34,30,33,23,81,3.4,2028272,201 reviews
1679,1,6,6,11,33,4.2,1673144,57 reviews
1680,33,26,38,59,99,3.6,1613116,255 reviews
